epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.78758,2.5353,0.05556,0.52778,2.66156,3.125e-05,3.125e-05,3.125e-05
2,10.717,2.45104,0.19444,0.69444,2.33063,6.80694e-05,6.80694e-05,6.80694e-05
3,14.1364,2.2591,0.41667,0.91667,1.88747,0.000104146,0.000104146,0.000104146
4,17.537,2.11518,0.80556,1,1.88718,0.000139481,0.000139481,0.000139481
5,20.7308,1.90545,0.91667,1,1.57175,0.000174073,0.000174073,0.000174073
6,23.9228,1.69262,1,1,1.29059,0.000207922,0.000207922,0.000207922
7,27.1276,1.46059,1,1,0.87509,0.000241029,0.000241029,0.000241029
8,30.7251,1.21074,1,1,0.4773,0.000273393,0.000273393,0.000273393
9,33.9607,0.92043,1,1,0.36489,0.000305015,0.000305015,0.000305015
10,37.1711,0.73329,1,1,0.15555,0.000335894,0.000335894,0.000335894
11,40.339,0.60579,1,1,0.14547,0.000366031,0.000366031,0.000366031
12,43.5285,0.35916,1,1,0.06603,0.000395426,0.000395426,0.000395426
13,46.7335,0.39739,1,1,0.0278,0.000424078,0.000424078,0.000424078
14,49.96,0.25127,1,1,0.01473,0.000451987,0.000451987,0.000451987
15,53.0335,0.27789,1,1,0.01235,0.000479154,0.000479154,0.000479154
16,56.1675,0.11491,1,1,0.00502,0.000505578,0.000505578,0.000505578
17,59.4696,0.18408,1,1,0.00584,0.000526,0.000526,0.000526
18,62.8797,0.16576,1,1,0.00392,0.000519812,0.000519812,0.000519812
19,66.0011,0.14316,1,1,0.00311,0.000513625,0.000513625,0.000513625
20,69.3188,0.13247,1,1,0.0038,0.000507438,0.000507438,0.000507438
21,72.4058,0.05949,1,1,0.00158,0.00050125,0.00050125,0.00050125
22,75.5709,0.02233,1,1,0.00184,0.000495063,0.000495063,0.000495063
23,78.6049,0.03816,1,1,0.0021,0.000488875,0.000488875,0.000488875
24,81.6473,0.04724,1,1,0.00196,0.000482687,0.000482687,0.000482687
25,84.6802,0.17447,1,1,0.0011,0.0004765,0.0004765,0.0004765
26,87.7058,0.05985,1,1,0.00111,0.000470312,0.000470312,0.000470312
